month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,samsung,저가,즉시 구매,즉시 구매(60s),17,1509.19,14,-49.29,-41.0
10월,samsung,저가,36h 초과,1시간 초과,9,798.45,9,,
10월,samsung,저가,12h 이내,1시간 초과,10,889.97,9,5639.0,4603.0
10월,samsung,저가,12h 이내,1시간 내 구매,21,1862.9,20,2508.81,2407.0
10월,samsung,중가,12h 이내,1시간 내 구매,582,108588.92,522,2453.25,2336.0
10월,samsung,중가,12h 이내,1시간 초과,319,60110.86,286,6021.83,5131.0
10월,samsung,중가,12h 이내,30분 내 구매,18038,3305732.04,15320,557.47,454.5
10월,samsung,중가,12h 이내,5분 내 구매,58283,10739002.37,38811,147.55,134.0
10월,samsung,중가,12h 이내,즉시 구매(60s),25572,4715272.74,12805,36.75,36.0
10월,samsung,중가,36h 초과,1시간 초과,277,50356.33,261,543976.35,556684.75
10월,samsung,중가,즉시 구매,즉시 구매(60s),276,48133.94,228,-53.78,-35.0
10월,samsung,중가,24h 이내,1시간 초과,3,559.19,2,65560.0,60322.0
10월,sony,고가,12h 이내,30분 내 구매,67,29487.18,59,635.04,564.0
10월,sony,고가,12h 이내,즉시 구매(60s),65,37421.42,44,38.14,36.0
10월,sony,고가,12h 이내,5분 내 구매,112,53337.33,92,149.29,151.25
10월,sony,고가,12h 이내,1시간 내 구매,7,2674.19,7,2404.57,2109.0
10월,sony,고가,12h 이내,1시간 초과,2,617.24,2,4019.5,4019.5
10월,sony,저가,12h 이내,즉시 구매(60s),1,89.84,1,38.0,38.0
10월,sony,중가,12h 이내,5분 내 구매,113,21136.88,91,154.36,143.0
10월,sony,중가,12h 이내,즉시 구매(60s),54,9444.75,33,34.78,36.0
10월,sony,중가,12h 이내,30분 내 구매,68,12332.39,59,632.99,549.0
10월,sony,중가,12h 이내,1시간 내 구매,3,617.18,3,2611.0,2712.0
10월,sony,중가,12h 이내,1시간 초과,1,179.88,1,4708.0,4708.0
10월,sony,중가,즉시 구매,즉시 구매(60s),1,179.67,1,-32.0,-32.0
10월,tecno,저가,12h 이내,5분 내 구매,14,933.38,11,147.0,118.0
10월,tecno,저가,12h 이내,30분 내 구매,3,200.01,3,351.67,354.0
10월,tecno,저가,12h 이내,즉시 구매(60s),4,266.68,4,45.25,46.5
10월,tecno,중가,12h 이내,30분 내 구매,12,1394.64,12,452.08,464.0
10월,tecno,중가,12h 이내,즉시 구매(60s),14,1600.06,11,37.71,41.0
10월,tecno,중가,12h 이내,5분 내 구매,45,5131.47,34,136.27,128.5
10월,tecno,중가,12h 이내,1시간 초과,2,236.3,2,6743.5,6743.5
10월,tecno,중가,36h 초과,1시간 초과,1,110.43,1,,
10월,texet,중가,12h 이내,5분 내 구매,11,1273.63,3,141.27,113.5
10월,texet,중가,12h 이내,즉시 구매(60s),5,578.68,1,28.2,27.0
10월,tp-link,저가,12h 이내,5분 내 구매,81,6004.72,72,145.86,134.0
10월,tp-link,저가,12h 이내,30분 내 구매,23,1753.09,19,596.09,459.0
10월,tp-link,저가,12h 이내,즉시 구매(60s),23,1663.95,22,34.13,34.5
10월,tp-link,저가,24h 이내,1시간 초과,1,71.82,1,52344.0,52344.0
10월,tp-link,저가,12h 이내,1시간 초과,1,71.82,1,6744.0,6744.0
10월,tp-link,중가,12h 이내,5분 내 구매,158,20270.77,105,140.82,140.0
10월,tp-link,중가,12h 이내,즉시 구매(60s),61,7491.56,33,37.93,32.5
10월,tp-link,중가,12h 이내,30분 내 구매,26,3272.1,21,539.42,435.0
10월,tp-link,중가,36h 초과,1시간 초과,1,96.53,1,,
10월,umi,고가,12h 이내,30분 내 구매,7,4156.68,6,630.14,525.5
10월,umi,고가,12h 이내,5분 내 구매,11,5339.64,10,169.73,158.75
10월,umi,고가,12h 이내,즉시 구매(60s),8,4298.0,8,43.62,49.0
10월,umi,고가,12h 이내,1시간 내 구매,1,450.18,1,1949.0,1949.0
10월,unknown,고가,12h 이내,30분 내 구매,62,43403.97,53,571.63,418.0
10월,unknown,고가,12h 이내,5분 내 구매,220,156711.49,187,138.03,124.75
