month,category_code,brand,purchase_count,revenue,brand_rank_in_category
10월,construction.tools.painting,wagner,23,8643.49,1
10월,construction.tools.painting,bosch,22,2301.59,2
10월,construction.tools.painting,unknown,28,1090.88,3
10월,construction.tools.pump,unknown,243,22576.61,1
10월,construction.tools.pump,pedrollo,5,4257.31,2
10월,construction.tools.pump,magnetta,18,1753.72,3
10월,construction.tools.saw,huter,801,70917.48,1
10월,construction.tools.saw,stihl,215,55460.46,2
10월,construction.tools.saw,unknown,306,42738.0,3
10월,construction.tools.soldering,unknown,1,12.14,1
10월,construction.tools.welding,unknown,706,98895.7,1
10월,construction.tools.welding,magnetta,104,28686.68,2
10월,construction.tools.welding,fubag,31,16405.61,3
10월,country_yard.cultivator,huter,20,5925.1,1
10월,country_yard.cultivator,hyundai,5,1924.0,2
10월,country_yard.cultivator,viking,1,711.99,3
10월,country_yard.lawn_mower,bosch,22,2573.54,1
10월,country_yard.lawn_mower,viking,2,875.18,2
10월,country_yard.lawn_mower,huter,7,780.98,3
10월,electronics.audio.acoustic,yamaha,210,37801.27,1
10월,electronics.audio.acoustic,fender,111,24859.69,2
10월,electronics.audio.acoustic,sony,56,16463.1,3
10월,electronics.audio.headphone,apple,17482,2881182.45,1
10월,electronics.audio.headphone,samsung,2223,196064.82,2
10월,electronics.audio.headphone,xiaomi,4762,125935.22,3
10월,electronics.audio.microphone,m-audio,67,8604.56,1
10월,electronics.audio.microphone,shure,30,7728.06,2
10월,electronics.audio.microphone,trust,55,3245.64,3
10월,electronics.audio.music_tools.piano,yamaha,126,35619.97,1
10월,electronics.audio.music_tools.piano,cortland,161,14817.68,2
10월,electronics.audio.music_tools.piano,casio,35,6810.61,3
10월,electronics.audio.subwoofer,unknown,839,76983.93,1
10월,electronics.audio.subwoofer,edge,215,33833.26,2
10월,electronics.audio.subwoofer,pioneer,466,33234.4,3
10월,electronics.camera.photo,canon,88,48358.79,1
10월,electronics.camera.photo,sony,64,41520.46,2
10월,electronics.camera.photo,nikon,22,15869.38,3
10월,electronics.camera.video,gopro,126,54598.61,1
10월,electronics.camera.video,sony,108,48958.31,2
10월,electronics.camera.video,panasonic,24,19287.16,3
10월,electronics.clocks,apple,7291,3092468.83,1
10월,electronics.clocks,samsung,2779,692677.06,2
10월,electronics.clocks,casio,2625,192456.51,3
10월,electronics.smartphone,apple,115334,102540617.06,1
10월,electronics.smartphone,samsung,143108,37368977.17,2
10월,electronics.smartphone,xiaomi,38769,8058377.17,3
10월,electronics.tablet,apple,1272,857991.08,1
10월,electronics.tablet,samsung,2506,504506.29,2
10월,electronics.tablet,huawei,434,67686.09,3
10월,electronics.telephone,nokia,1701,79827.67,1
10월,electronics.telephone,panasonic,385,15080.96,2
10월,electronics.telephone,texet,538,11966.89,3
10월,electronics.video.projector,epson,33,18740.88,1
10월,electronics.video.projector,xgimi,7,6428.41,2
10월,electronics.video.projector,optoma,7,3875.6,3
10월,electronics.video.tv,samsung,8968,4420238.54,1
10월,electronics.video.tv,lg,2513,1281929.93,2
10월,electronics.video.tv,artel,3053,579581.32,3
10월,furniture.bathroom.bath,triton,18,3868.74,1
10월,furniture.bathroom.bath,unknown,28,2537.8,2
10월,furniture.bathroom.bath,cersanit,6,666.68,3
10월,furniture.bathroom.toilet,santeri,54,3215.54,1
10월,furniture.bathroom.toilet,rosa,55,3101.25,2
10월,furniture.bathroom.toilet,cersanit,21,1707.01,3
10월,furniture.bedroom.bed,unknown,1015,166710.68,1
10월,furniture.bedroom.bed,sv,353,71446.34,2
10월,furniture.bedroom.bed,incanto,238,38522.95,3
10월,furniture.bedroom.blanket,unknown,68,2218.65,1
10월,furniture.bedroom.blanket,alvitek,48,1643.64,2
10월,furniture.bedroom.blanket,arua,7,584.56,3
10월,furniture.bedroom.pillow,vegas,23,1281.87,1
10월,furniture.bedroom.pillow,unknown,64,817.84,2
10월,furniture.bedroom.pillow,askona,6,760.06,3
10월,furniture.kitchen.chair,peg-perego,93,19889.88,1
10월,furniture.kitchen.chair,unknown,363,16969.23,2
10월,furniture.kitchen.chair,chicco,38,8564.13,3
10월,furniture.kitchen.table,unknown,405,58730.5,1
10월,furniture.kitchen.table,ersport,47,5746.06,2
10월,furniture.kitchen.table,brw,42,5356.14,3
10월,furniture.living_room.cabinet,unknown,1436,330061.82,1
10월,furniture.living_room.cabinet,brw,170,58461.88,2
10월,furniture.living_room.cabinet,sv,150,41307.81,3
10월,furniture.living_room.chair,unknown,144,17676.1,1
10월,furniture.living_room.chair,joie,68,9700.35,2
10월,furniture.living_room.chair,cybex,26,7827.23,3
10월,furniture.living_room.sofa,unknown,911,472487.3,1
10월,furniture.living_room.sofa,rals,142,79667.04,2
10월,furniture.living_room.sofa,komfort-s,14,4921.05,3
10월,furniture.universal.light,unknown,19,1449.84,1
10월,furniture.universal.light,illumico,8,583.14,2
10월,furniture.universal.light,mantra,1,366.9,3
10월,kids.carriage,belecoo,596,70372.19,1
10월,kids.carriage,unknown,364,55139.22,2
10월,kids.carriage,babyzen,58,31802.78,3
10월,kids.dolls,llorens,160,6984.98,1
10월,kids.dolls,unknown,116,4322.44,2
10월,kids.dolls,spinmaster,6,834.0,3
10월,kids.fmcg.diapers,huggies,400,5269.86,1
10월,kids.fmcg.diapers,merries,107,1785.88,2
10월,kids.fmcg.diapers,pampers,99,955.92,3
10월,kids.skates,xiaomi,244,95609.92,1
10월,kids.skates,kugoo,99,49829.22,2
10월,kids.skates,maomaoku,73,24751.66,3
10월,kids.swing,joie,76,14340.41,1
10월,kids.swing,unknown,65,11676.26,2
10월,kids.swing,pituso,94,9199.71,3
10월,kids.toys,bestoy,175,10743.83,1
10월,kids.toys,unknown,278,6852.88,2
10월,kids.toys,chicco,101,3543.22,3
10월,medicine.tools.tonometer,omron,304,13344.03,1
10월,medicine.tools.tonometer,unknown,6,156.39,2
10월,sport.bicycle,giant,67,50056.12,1
10월,sport.bicycle,phoenix,225,40750.88,2
10월,sport.bicycle,axis,189,25052.28,3
10월,sport.ski,elan,8,2100.94,1
10월,sport.ski,unknown,2,753.69,2
10월,sport.ski,atomic,2,740.81,3
10월,sport.snowboard,ride,3,689.07,1
10월,sport.snowboard,unknown,2,668.74,2
10월,sport.snowboard,burton,1,231.41,3
10월,sport.tennis,unknown,5,148.58,1
10월,sport.tennis,head,2,127.67,2
10월,sport.tennis,babolat,1,40.93,3
10월,sport.trainer,housefit,110,40404.12,1
10월,sport.trainer,unknown,156,31653.54,2
10월,sport.trainer,sportop,8,9781.44,3
10월,stationery.cartrige,hp,44,858.71,1
10월,stationery.cartrige,unknown,19,308.78,2
10월,stationery.cartrige,canon,20,246.28,3
10월,unknown,unknown,38385,5376164.61,1
10월,unknown,lucente,11576,3123438.96,2
10월,unknown,sony,4496,1746637.0,3
11월,accessories.bag,karya,158,13310.74,1
11월,accessories.bag,unknown,268,12825.96,2
11월,accessories.bag,respect,128,5940.96,3
11월,accessories.umbrella,fabretti,16,284.16,1
11월,accessories.umbrella,hoco,5,128.55,2
11월,accessories.umbrella,xiaomi,5,127.4,3
11월,accessories.wallet,petek,117,8156.77,1
11월,accessories.wallet,karya,188,7278.06,2
11월,accessories.wallet,picard,28,1823.72,3
11월,apparel.belt,petek,8,423.17,1
11월,apparel.belt,tonybellucci,12,308.88,2
11월,apparel.belt,unknown,10,257.15,3
11월,apparel.costume,unknown,664,46755.85,1
11월,apparel.costume,daneildesch,79,11698.88,2
11월,apparel.costume,nike,72,8042.54,3
11월,apparel.dress,unknown,30,2422.14,1
11월,apparel.dress,conceptclub,50,1811.39,2
11월,apparel.dress,annaanna,17,522.22,3
11월,apparel.glove,unknown,4,499.83,1
11월,apparel.glove,fabretti,8,312.0,2
11월,apparel.glove,leone,3,231.66,3
11월,apparel.jeans,unknown,117,4371.25,1
11월,apparel.jeans,conceptclub,50,1720.11,2
11월,apparel.jeans,noppies,2,104.25,3
11월,apparel.jumper,conceptclub,67,1514.37,1
11월,apparel.jumper,didistyle,15,579.15,2
11월,apparel.scarf,fabretti,8,188.4,1
11월,apparel.shirt,jordan,15,1540.65,1
11월,apparel.shirt,fila,16,1334.45,2
11월,apparel.shirt,dion,27,799.2,3
11월,apparel.shoes,respect,4126,349620.61,1
11월,apparel.shoes,unknown,1372,129879.52,2
11월,apparel.shoes,baden,1325,94883.05,3
11월,apparel.shoes.ballet_shoes,respect,17,443.55,1
11월,apparel.shoes.ballet_shoes,caprice,2,100.38,2
11월,apparel.shoes.ballet_shoes,pablosky,1,41.96,3
11월,apparel.shoes.keds,nike,169,20630.98,1
11월,apparel.shoes.keds,strobbs,331,19786.1,2
11월,apparel.shoes.keds,unknown,265,18110.78,3
11월,apparel.shoes.moccasins,etor,16,1567.64,1
11월,apparel.shoes.moccasins,greyder,4,259.98,2
11월,apparel.shoes.moccasins,rooman,4,137.96,3
11월,apparel.shoes.sandals,respect,30,871.82,1
11월,apparel.shoes.sandals,rieker,6,191.77,2
11월,apparel.shoes.sandals,biomecanics,3,120.47,3
11월,apparel.shoes.slipons,nexpero,5,96.02,1
11월,apparel.shoes.slipons,rieker,2,75.42,2
11월,apparel.shoes.slipons,unknown,1,64.35,3
11월,apparel.shoes.step_ins,nike,5,148.0,1
11월,apparel.shoes.step_ins,greyder,1,30.89,2
11월,apparel.shoes.step_ins,rieker,1,30.63,3
11월,apparel.shorts,crockid,2,7.85,1
11월,apparel.skirt,weekend,1,432.44,1
11월,apparel.skirt,conceptclub,9,234.5,2
11월,apparel.sock,chicco,9,309.67,1
11월,apparel.sock,unknown,9,218.32,2
11월,apparel.sock,cybex,1,169.86,3
11월,apparel.trousers,unknown,21,956.21,1
11월,apparel.trousers,daneildesch,8,347.5,2
11월,apparel.trousers,jordan,4,323.93,3
11월,apparel.tshirt,nike,33,1168.92,1
11월,apparel.tshirt,goodloot,46,604.06,2
11월,apparel.tshirt,harley-davidson,6,386.11,3
11월,apparel.underwear,milavitsa,49,1267.97,1
11월,apparel.underwear,visavis,27,276.46,2
11월,apparel.underwear,noppies,4,66.94,3
11월,appliances.environment.air_conditioner,artel,181,168480.03,1
11월,appliances.environment.air_conditioner,almacom,61,30224.51,2
11월,appliances.environment.air_conditioner,lg,40,28148.44,3
11월,appliances.environment.air_heater,unknown,751,51218.91,1
11월,appliances.environment.air_heater,electrolux,392,30729.57,2
11월,appliances.environment.air_heater,oasis,946,29631.29,3
11월,appliances.environment.fan,polaris,8,261.86,1
11월,appliances.environment.fan,scarlett,5,128.55,2
11월,appliances.environment.fan,willmark,7,106.53,3
11월,appliances.environment.vacuum,samsung,6652,693185.38,1
